element,decimal_approx,num_representations,sample_representation
0,0.00000000,1,()
1,1.00000000,21198,"((2,0,2), (2,1,1), (2,2,1), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
1/2,0.50000000,3960,"((2,1,1), (2,2,1), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
1/3,0.33333333,1330,"((3,0,2), (3,1,2))"
1/4,0.25000000,616,"((3,0,2))"
1/6,0.16666667,220,"((3,0,1), (3,1,1))"
1/8,0.12500000,100,"((3,0,1))"
1/9,0.11111111,84,"((3,1,2), (3,2,2))"
1/12,0.08333333,44,"((3,1,2))"
1/18,0.05555556,20,"((3,1,1), (3,2,1))"
1/24,0.04166667,10,"((3,1,1))"
1/27,0.03703704,10,"((3,2,2), (3,3,2))"
1/36,0.02777778,6,"((3,2,2))"
1/54,0.01851852,4,"((3,2,1), (3,3,1))"
1/72,0.01388889,2,"((3,2,1))"
1/108,0.00925926,2,"((3,3,2))"
1/216,0.00462963,1,"((3,3,1))"
2,2.00000000,62065,"((1,0,1), (1,1,2), (1,2,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
2/3,0.66666667,8251,"((2,0,1), (2,2,1), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
2/9,0.22222222,455,"((3,0,1), (3,1,2), (3,2,1))"
2/27,0.07407407,35,"((3,1,1), (3,2,2), (3,3,1))"
3,3.00000000,67270,"((0,1,1), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
3/2,1.50000000,43600,"((1,1,2), (1,2,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
3/4,0.75000000,11010,"((2,0,1), (2,1,1), (2,2,1), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
3/8,0.37500000,1770,"((2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,1))"
4,4.00000000,46073,"((0,0,1), (0,1,1), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
4/3,1.33333333,36127,"((1,1,1), (1,2,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
4/9,0.44444444,2899,"((2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
4/27,0.14814815,165,"((3,0,1), (3,2,1), (3,3,2))"
5,5.00000000,5206,"((0,0,2), (0,1,1), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
5/2,2.50000000,67250,"((1,0,2), (1,1,2), (1,2,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
5/3,1.66666667,50856,"((1,0,1), (1,2,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
5/4,1.25000000,32370,"((1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
5/6,0.83333333,14158,"((2,0,1), (2,1,2), (2,2,1), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
5/8,0.62500000,6830,"((2,0,1), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,1))"
5/9,0.55555556,5206,"((2,1,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
5/12,0.41666667,2434,"((2,2,1), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
5/18,0.27777778,816,"((3,0,2), (3,2,2))"
5/24,0.20833333,364,"((3,0,1), (3,1,2))"
5/27,0.18518519,286,"((3,0,1), (3,1,1), (3,2,1), (3,3,1))"
5/36,0.13888889,140,"((3,0,1), (3,2,1))"
5/54,0.09259259,56,"((3,1,2), (3,3,2))"
5/72,0.06944444,26,"((3,1,1), (3,2,2))"
5/108,0.04629630,14,"((3,1,1), (3,3,1))"
5/216,0.02314815,4,"((3,2,1), (3,3,2))"
7/2,3.50000000,63310,"((0,1,2), (0,2,2), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
7/3,2.33333333,66816,"((1,0,2), (1,1,1), (1,2,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
7/4,1.75000000,54164,"((1,0,1), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
7/6,1.16666667,28652,"((1,2,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
7/8,0.87500000,15440,"((2,0,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,1))"
7/9,0.77777778,12028,"((2,0,1), (2,1,1), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
7/12,0.58333333,5892,"((2,1,2), (2,2,1), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
7/18,0.38888889,2022,"((2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
7/24,0.29166667,888,"((3,0,2), (3,1,1))"
7/27,0.25925926,680,"((3,0,2), (3,3,2))"
7/36,0.19444444,322,"((3,0,1), (3,1,1), (3,2,2))"
7/54,0.12962963,120,"((3,0,1), (3,3,1))"
7/72,0.09722222,56,"((3,1,2), (3,2,1))"
7/108,0.06481481,26,"((3,1,1), (3,2,1), (3,3,2))"
7/216,0.03240741,6,"((3,2,2), (3,3,1))"
8/3,2.66666667,67271,"((0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
8/9,0.88888889,16415,"((2,0,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
8/27,0.29629630,969,"((3,0,2), (3,1,1), (3,3,1))"
9/2,4.50000000,23670,"((0,0,1), (0,1,2), (0,2,2), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
9/4,2.25000000,66180,"((1,0,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
9/8,1.12500000,26120,"((1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,1))"
10/3,3.33333333,65941,"((0,1,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
10/9,1.11111111,26161,"((2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
10/27,0.37037037,1771,"((3,0,2), (3,1,2), (3,2,2), (3,3,2))"
11/2,5.50000000,20,"((0,0,2), (0,1,2), (0,2,2), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
11/3,3.66666667,59020,"((0,0,1), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
11/4,2.75000000,67230,"((0,2,1), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
11/6,1.83333333,57220,"((1,0,1), (1,1,1), (1,2,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
11/8,1.37500000,37060,"((1,1,1), (1,2,2), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,1))"
11/9,1.22222222,31144,"((1,2,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
11/12,0.91666667,17570,"((2,0,2), (2,2,1), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
11/18,0.61111111,6636,"((2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
11/24,0.45833333,3050,"((2,1,1), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,1))"
11/27,0.40740741,2294,"((2,2,1), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
11/36,0.30555556,1050,"((3,0,2), (3,1,1), (3,2,1))"
11/54,0.20370370,364,"((3,0,1), (3,1,1), (3,2,2), (3,3,2))"
11/72,0.15277778,165,"((3,0,1), (3,2,2))"
11/108,0.10185185,68,"((3,1,2), (3,2,1), (3,3,1))"
11/216,0.05092593,14,"((3,1,1), (3,3,2))"
13/3,4.33333333,31144,"((0,0,1), (0,1,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
13/4,3.25000000,66614,"((0,1,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
13/6,2.16666667,65248,"((1,0,2), (1,2,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
13/8,1.62500000,47890,"((1,0,1), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,1))"
13/9,1.44444444,41110,"((1,1,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
13/12,1.08333333,24900,"((2,0,2), (2,1,2), (2,2,1), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
13/18,0.72222222,10050,"((2,0,1), (2,1,1), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
13/24,0.54166667,4740,"((2,1,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,1))"
13/27,0.48148148,3586,"((2,1,1), (2,2,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
13/36,0.36111111,1650,"((3,0,2), (3,1,2), (3,2,2))"
13/54,0.24074074,560,"((3,0,1), (3,1,2), (3,2,2), (3,3,1))"
13/72,0.18055556,250,"((3,0,1), (3,1,1), (3,2,1))"
13/108,0.12037037,100,"((3,1,2), (3,2,2), (3,3,2))"
13/216,0.06018519,20,"((3,1,1), (3,2,1), (3,3,1))"
14/3,4.66666667,16415,"((0,0,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
14/9,1.55555556,46073,"((1,1,2), (1,2,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
14/27,0.51851852,4355,"((2,1,1), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
15/4,3.75000000,56220,"((0,0,1), (0,2,1), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
15/8,1.87500000,57160,"((1,0,1), (1,1,1), (1,2,2), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,1))"
16/3,5.33333333,455,"((0,0,2), (0,1,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
16/9,1.77777778,55243,"((1,0,1), (1,1,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
16/27,0.59259259,6139,"((2,1,2), (2,2,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
17/4,4.25000000,34860,"((0,0,1), (0,1,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
17/6,2.83333333,67270,"((0,2,2), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
17/8,2.12500000,63030,"((1,0,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,1))"
17/9,1.88888889,59020,"((1,0,1), (1,1,1), (1,2,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
17/12,1.41666667,39840,"((1,1,1), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
17/18,0.94444444,18770,"((2,0,2), (2,2,2), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
17/24,0.70833333,9330,"((2,0,1), (2,1,1), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,1))"
17/27,0.62962963,7154,"((2,0,1), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
17/36,0.47222222,3402,"((2,1,1), (2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
17/54,0.31481481,1140,"((3,0,2), (3,1,1), (3,2,1), (3,3,2))"
17/72,0.23611111,504,"((3,0,1), (3,1,2), (3,2,2))"
17/108,0.15740741,190,"((3,0,1), (3,2,2), (3,3,1))"
17/216,0.07870370,35,"((3,1,1), (3,2,2), (3,3,2))"
19/4,4.75000000,13066,"((0,0,2), (0,2,1), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
