element,decimal_approx,classification,decomposition_witness,is_theoretical_atom_within_degree_bound,notes
0,0.00000000,zero,,no,Zero is not an atom in any monoid.
1,1.00000000,candidate_atom,,yes,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
2,2.00000000,decomposable,1 + 1,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
3,3.00000000,decomposable,1 + 2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
5,5.00000000,decomposable,2 + 3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
5/3,1.66666667,candidate_atom,,yes,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
6,6.00000000,decomposable,1 + 5,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
7,7.00000000,decomposable,1 + 6,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
8,8.00000000,decomposable,1 + 7,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
8/3,2.66666667,decomposable,1 + 5/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
10,10.00000000,decomposable,2 + 8,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
10/3,3.33333333,decomposable,5/3 + 5/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
11,11.00000000,decomposable,1 + 10,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
11/3,3.66666667,decomposable,1 + 8/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
12,12.00000000,decomposable,1 + 11,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
13,13.00000000,decomposable,1 + 12,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
13/3,4.33333333,decomposable,1 + 10/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
14/3,4.66666667,decomposable,1 + 11/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
16/3,5.33333333,decomposable,1 + 13/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
19/3,6.33333333,decomposable,1 + 16/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
20,20.00000000,decomposable,7 + 13,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
21,21.00000000,decomposable,1 + 20,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
22,22.00000000,decomposable,1 + 21,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
23,23.00000000,decomposable,1 + 22,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
25/3,8.33333333,decomposable,2 + 19/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
25/9,2.77777778,candidate_atom,,yes,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
28/3,9.33333333,decomposable,1 + 25/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
31/3,10.33333333,decomposable,1 + 28/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
34/3,11.33333333,decomposable,1 + 31/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
34/9,3.77777778,decomposable,1 + 25/9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
35,35.00000000,decomposable,12 + 23,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
35/3,11.66666667,decomposable,7 + 14/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
36,36.00000000,decomposable,1 + 35,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
37,37.00000000,decomposable,1 + 36,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
38,38.00000000,decomposable,1 + 37,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
38/3,12.66666667,decomposable,1 + 35/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
40/3,13.33333333,decomposable,2 + 34/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
40/9,4.44444444,decomposable,25/9 + 5/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
41/3,13.66666667,decomposable,1 + 38/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
43/3,14.33333333,decomposable,1 + 40/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
43/9,4.77777778,decomposable,1 + 34/9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
44/3,14.66666667,decomposable,1 + 41/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
46/3,15.33333333,decomposable,1 + 43/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
49/3,16.33333333,decomposable,1 + 46/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
49/9,5.44444444,decomposable,1 + 40/9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
50/3,16.66666667,decomposable,2 + 44/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
50/9,5.55555556,decomposable,25/9 + 25/9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
52/9,5.77777778,decomposable,1 + 43/9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
53/3,17.66666667,decomposable,1 + 50/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
55/3,18.33333333,decomposable,2 + 49/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
55/9,6.11111111,decomposable,25/9 + 10/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
56/3,18.66666667,decomposable,1 + 53/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
58/3,19.33333333,decomposable,1 + 55/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
58/9,6.44444444,decomposable,1 + 49/9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
59/3,19.66666667,decomposable,1 + 56/3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
59/9,6.55555556,decomposable,1 + 50/9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
