element,decimal_approx,classification,decomposition_witness,is_theoretical_atom_within_degree_bound,notes
0,0.00000000,zero,,no,Zero is not an atom in any monoid.
1,1.00000000,decomposable,1/32 + 31/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1/2,0.50000000,decomposable,1/32 + 15/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1/4,0.25000000,decomposable,1/32 + 7/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1/8,0.12500000,decomposable,1/32 + 3/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1/16,0.06250000,decomposable,1/32 + 1/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1/32,0.03125000,candidate_atom,,no,Sample candidate atom not predicted by theory within degree bound. May be a false positive caused by bounded search limits.
2,2.00000000,decomposable,1/32 + 63/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
3,3.00000000,decomposable,1/32 + 95/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
3/2,1.50000000,decomposable,1/32 + 47/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
3/4,0.75000000,decomposable,1/32 + 23/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
3/8,0.37500000,decomposable,1/32 + 11/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
3/16,0.18750000,decomposable,1/32 + 5/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
3/32,0.09375000,decomposable,1/32 + 1/16,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
4,4.00000000,decomposable,1/32 + 127/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
5,5.00000000,decomposable,1/32 + 159/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
5/2,2.50000000,decomposable,1/32 + 79/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
5/4,1.25000000,decomposable,1/32 + 39/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
5/8,0.62500000,decomposable,1/32 + 19/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
5/16,0.31250000,decomposable,1/32 + 9/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
5/32,0.15625000,decomposable,1/32 + 1/8,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
7/2,3.50000000,decomposable,1/32 + 111/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
7/4,1.75000000,decomposable,1/32 + 55/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
7/8,0.87500000,decomposable,1/32 + 27/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
7/16,0.43750000,decomposable,1/32 + 13/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
7/32,0.21875000,decomposable,1/32 + 3/16,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
9/2,4.50000000,decomposable,1/32 + 143/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
9/4,2.25000000,decomposable,1/32 + 71/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
9/8,1.12500000,decomposable,1/32 + 35/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
9/16,0.56250000,decomposable,1/32 + 17/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
9/32,0.28125000,decomposable,1/32 + 1/4,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
11/2,5.50000000,decomposable,1/32 + 175/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
11/4,2.75000000,decomposable,1/32 + 87/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
11/8,1.37500000,decomposable,1/32 + 43/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
11/16,0.68750000,decomposable,1/32 + 21/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
11/32,0.34375000,decomposable,1/32 + 5/16,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
13/4,3.25000000,decomposable,1/32 + 103/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
13/8,1.62500000,decomposable,1/32 + 51/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
13/16,0.81250000,decomposable,1/32 + 25/32,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
13/32,0.40625000,decomposable,1/32 + 3/8,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
