element,decimal_approx,classification,decomposition_witness,is_theoretical_atom_within_degree_bound,notes
208/243,0.85596708,decomposable,16/81 + 160/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
208/729,0.28532236,decomposable,16/81 + 64/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
214/81,2.64197531,decomposable,1 + 133/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
220/243,0.90534979,decomposable,596/729 + 64/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
221/81,2.72839506,decomposable,1 + 140/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
230/81,2.83950617,decomposable,1 + 149/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
250/81,3.08641975,decomposable,1 + 169/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
256/2187,0.11705533,decomposable,512/6561 + 256/6561,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
256/6561,0.03901844,candidate_atom,,yes,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
259/81,3.19753086,decomposable,1 + 178/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
266/81,3.28395062,decomposable,1 + 185/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
268/243,1.10288066,decomposable,596/729 + 208/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
272/729,0.37311385,decomposable,16/81 + 128/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
275/81,3.39506173,decomposable,1 + 194/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
280/243,1.15226337,decomposable,172/243 + 4/9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
286/81,3.53086420,decomposable,1 + 205/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
295/81,3.64197531,decomposable,1 + 214/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
302/81,3.72839506,decomposable,1 + 221/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
307/243,1.26337449,decomposable,1 + 64/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
311/81,3.83950617,decomposable,1 + 230/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
316/243,1.30041152,decomposable,596/729 + 352/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
328/243,1.34979424,decomposable,596/729 + 388/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
331/81,4.08641975,decomposable,1 + 250/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
347/81,4.28395062,decomposable,1 + 266/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
352/729,0.48285322,decomposable,16/81 + 208/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
355/243,1.46090535,decomposable,1 + 112/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
367/81,4.53086420,decomposable,1 + 286/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
376/243,1.54732510,decomposable,596/729 + 532/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
383/81,4.72839506,decomposable,1 + 302/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
388/243,1.59670782,decomposable,1100/729 + 64/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
388/729,0.53223594,decomposable,64/729 + 4/9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
403/243,1.65843621,decomposable,1 + 160/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
415/243,1.70781893,decomposable,1 + 172/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
416/729,0.57064472,decomposable,16/81 + 272/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
424/243,1.74485597,decomposable,596/729 + 676/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
436/243,1.79423868,decomposable,1100/729 + 208/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
448/2187,0.20484682,decomposable,64/729 + 256/2187,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
451/243,1.85596708,decomposable,1 + 208/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
452/729,0.62002743,decomposable,64/729 + 388/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
463/243,1.90534979,decomposable,1 + 220/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
484/243,1.99176955,decomposable,1100/729 + 352/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
496/729,0.68038409,decomposable,16/81 + 352/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
511/243,2.10288066,decomposable,1 + 268/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
512/6561,0.07803688,decomposable,256/6561 + 256/6561,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
523/243,2.15226337,decomposable,1 + 280/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
532/243,2.18930041,decomposable,1100/729 + 496/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
532/729,0.72976680,decomposable,16/81 + 388/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
550/243,2.26337449,decomposable,1 + 307/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
559/243,2.30041152,decomposable,1 + 316/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
560/729,0.76817558,decomposable,16/81 + 416/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
571/243,2.34979424,decomposable,1 + 328/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
596/729,0.81755830,decomposable,16/81 + 452/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
598/243,2.46090535,decomposable,1 + 355/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
619/243,2.54732510,decomposable,1 + 376/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
631/243,2.59670782,decomposable,1 + 388/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
640/2187,0.29263832,decomposable,448/2187 + 64/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
646/243,2.65843621,decomposable,1 + 403/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
658/243,2.70781893,decomposable,1 + 415/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
667/243,2.74485597,decomposable,1 + 424/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
676/729,0.92729767,decomposable,16/81 + 532/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
679/243,2.79423868,decomposable,1 + 436/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
688/2187,0.31458619,decomposable,16/81 + 256/2187,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
694/243,2.85596708,decomposable,1 + 451/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
706/243,2.90534979,decomposable,1 + 463/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
712/729,0.97668038,decomposable,8/9 + 64/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
727/243,2.99176955,decomposable,1 + 484/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
740/729,1.01508916,decomposable,596/729 + 16/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
754/243,3.10288066,decomposable,1 + 511/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
766/243,3.15226337,decomposable,1 + 523/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
775/243,3.18930041,decomposable,1 + 532/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
776/729,1.06447188,decomposable,8/9 + 128/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
793/243,3.26337449,decomposable,1 + 550/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
793/729,1.08779150,decomposable,1 + 64/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
802/243,3.30041152,decomposable,1 + 559/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
814/243,3.34979424,decomposable,1 + 571/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
820/729,1.12482853,decomposable,16/81 + 676/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
832/2187,0.38042981,decomposable,448/2187 + 128/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
832/6561,0.12680994,decomposable,64/729 + 256/6561,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
841/243,3.46090535,decomposable,1 + 598/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
856/729,1.17421125,decomposable,8/9 + 208/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
857/729,1.17558299,decomposable,1 + 128/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
862/243,3.54732510,decomposable,1 + 619/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
874/243,3.59670782,decomposable,1 + 631/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
880/2187,0.40237769,decomposable,688/2187 + 64/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
884/729,1.21262003,decomposable,596/729 + 32/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
889/243,3.65843621,decomposable,1 + 646/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
901/243,3.70781893,decomposable,1 + 658/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
910/243,3.74485597,decomposable,1 + 667/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
920/729,1.26200274,decomposable,596/729 + 4/9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
922/243,3.79423868,decomposable,1 + 679/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
937/243,3.85596708,decomposable,1 + 694/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
937/729,1.28532236,decomposable,1 + 208/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
949/243,3.90534979,decomposable,1 + 706/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
970/243,3.99176955,decomposable,1 + 727/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
997/243,4.10288066,decomposable,1 + 754/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1000/729,1.37174211,decomposable,8/9 + 352/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1001/729,1.37311385,decomposable,1 + 272/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1009/243,4.15226337,decomposable,1 + 766/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1018/243,4.18930041,decomposable,1 + 775/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1024/19683,0.05202459,decomposable,1024/59049 + 2048/59049,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1024/59049,0.01734153,candidate_atom,,yes,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1036/729,1.42112483,decomposable,8/9 + 388/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1045/243,4.30041152,decomposable,1 + 802/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1057/243,4.34979424,decomposable,1 + 814/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1064/729,1.45953361,decomposable,596/729 + 52/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1072/2187,0.49016918,decomposable,688/2187 + 128/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1081/729,1.48285322,decomposable,1 + 352/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1088/6561,0.16582838,decomposable,64/729 + 512/6561,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1100/729,1.50891632,decomposable,8/9 + 452/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1105/243,4.54732510,decomposable,1 + 862/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1117/243,4.59670782,decomposable,1 + 874/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1117/729,1.53223594,decomposable,1 + 388/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1120/2187,0.51211706,decomposable,688/2187 + 16/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1144/729,1.56927298,decomposable,8/9 + 496/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1145/729,1.57064472,decomposable,1 + 416/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1153/243,4.74485597,decomposable,1 + 910/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1165/243,4.79423868,decomposable,1 + 922/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1180/729,1.61865569,decomposable,8/9 + 532/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1181/729,1.62002743,decomposable,1 + 452/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1208/729,1.65706447,decomposable,596/729 + 68/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1213/243,4.99176955,decomposable,1 + 970/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1225/729,1.68038409,decomposable,1 + 496/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1228/2187,0.56149977,decomposable,3172/6561 + 512/6561,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1244/729,1.70644719,decomposable,1100/729 + 16/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1261/243,5.18930041,decomposable,1 + 1018/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1261/729,1.72976680,decomposable,1 + 532/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1264/2187,0.57796068,decomposable,688/2187 + 64/243,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1289/729,1.76817558,decomposable,1 + 560/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1312/2187,0.59990855,decomposable,688/2187 + 208/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1324/729,1.81618656,decomposable,8/9 + 676/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1325/729,1.81755830,decomposable,1 + 596/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1388/729,1.90397805,decomposable,1100/729 + 32/81,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1405/729,1.92729767,decomposable,1 + 676/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1408/6561,0.21460143,decomposable,64/729 + 832/6561,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1420/2187,0.64929127,decomposable,448/2187 + 4/9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
1441/729,1.97668038,decomposable,1 + 712/729,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
