q,target,target_decimal_approx,candidate_atomic_divisor_count,associate_class_count,sample_divisors,sample_quotients,notes
1/2,9/2,4.50000000,2,1,3; 3/2,3/2; 3,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
1/2,9/4,2.25000000,3,1,3; 3/2; 3/4,3/4; 3/2; 3,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
1/2,9/8,1.12500000,4,1,3; 3/2; 3/4; 3/8,3/8; 3/4; 3/2; 3,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
1/2,9/16,0.56250000,5,1,3; 3/2; 3/4; 3/8; 3/16,3/16; 3/8; 3/4; 3/2; 3,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
1/2,9/32,0.28125000,6,1,3; 3/2; 3/4; 3/8; 3/16; 3/32,3/32; 3/16; 3/8; 3/4; 3/2; 3,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
1/2,21/16,1.31250000,8,2,3; 3/2; 3/4; 3/8; 7/2; 7/4; 7/8; 7/16,7/16; 7/8; 7/4; 7/2; 3/8; 3/4; 3/2; 3,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
1/2,21/32,0.65625000,10,2,3; 3/2; 3/4; 3/8; 3/16; 7/2; 7/4; 7/8; 7/16; 7/32,7/32; 7/16; 7/8; 7/4; 7/2; 3/16; 3/8; 3/4; 3/2; 3,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
1/2,23/4,5.75000000,3,1,23/4; 23/8; 23/16,1; 2; 4,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
