q,target,target_decimal_approx,candidate_atomic_divisor_count,associate_class_count,sample_divisors,sample_quotients,notes
2,4,4.00000000,1,1,2,2,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
2,6,6.00000000,2,2,2; 3,3; 2,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
2,10,10.00000000,2,2,2; 5,5; 2,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
2,14,14.00000000,2,2,2; 7,7; 2,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
2,22,22.00000000,2,2,2; 11,11; 2,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
2,9,9.00000000,1,1,3,3,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
2,15,15.00000000,2,2,3; 5,5; 3,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
2,21,21.00000000,2,2,3; 7,7; 3,This is a bounded computational sample. It does not prove the complete atomic divisor structure of the infinite monoid.
