element,decimal_approx,numerator,denominator,support_primes,valuation_vector,selected_primes
1,1.00000000,1,1,[],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
2,2.00000000,2,1,[2],"[1, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
3,3.00000000,3,1,[3],"[0, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
4/3,1.33333333,4,3,"[2, 3]","[2, -1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
4/9,0.44444444,4,9,"[2, 3]","[2, -2, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
7/3,2.33333333,7,3,"[3, 7]","[0, -1, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
8/9,0.88888889,8,9,"[2, 3]","[3, -2, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
10/3,3.33333333,10,3,"[2, 3, 5]","[1, -1, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
13/3,4.33333333,13,3,"[3, 13]","[0, -1, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
13/9,1.44444444,13,9,"[3, 13]","[0, -2, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
16/27,0.59259259,16,27,"[2, 3]","[4, -3, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
16/81,0.19753086,16,81,"[2, 3]","[4, -4, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
17/9,1.88888889,17,9,"[3, 17]","[0, -2, 0, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
22/9,2.44444444,22,9,"[2, 3, 11]","[1, -2, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
26/9,2.88888889,26,9,"[2, 3, 13]","[1, -2, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
28/27,1.03703704,28,27,"[2, 3, 7]","[2, -3, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
31/9,3.44444444,31,9,"[3, 31]","[0, -2, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
32/81,0.39506173,32,81,"[2, 3]","[5, -4, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
35/9,3.88888889,35,9,"[3, 5, 7]","[0, -2, 1, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
40/27,1.48148148,40,27,"[2, 3, 5]","[3, -3, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
43/27,1.59259259,43,27,"[3, 43]","[0, -3, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
52/27,1.92592593,52,27,"[2, 3, 13]","[2, -3, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
52/81,0.64197531,52,81,"[2, 3, 13]","[2, -4, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
55/27,2.03703704,55,27,"[3, 5, 11]","[0, -3, 1, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
64/243,0.26337449,64,243,"[2, 3]","[6, -5, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
64/729,0.08779150,64,729,"[2, 3]","[6, -6, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
67/27,2.48148148,67,27,"[3, 67]","[0, -3, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
68/81,0.83950617,68,81,"[2, 3, 17]","[2, -4, 0, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
